<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.08	00:00:00	1.09480	1.09481	1.09480	1.09481	10	0	8
2024.01.08	00:01:00	1.09481	1.09482	1.09481	1.09482	10	0	8
2024.01.08	00:02:00	1.09482	1.09510	1.09482	1.09483	10	0	8
2024.01.08	00:03:00	1.09483	1.09484	1.09483	1.09484	10	0	8
2024.01.08	00:04:00	1.09484	1.09485	1.09484	1.09485	10	0	8
2024.01.08	00:05:00	1.09485	1.09486	1.09485	1.09486	10	0	8
2024.01.08	00:06:00	1.09486	1.09487	1.09486	1.09487	10	0	8
2024.01.08	00:07:00	1.09487	1.09488	1.09460	1.09488	10	0	8
2024.01.08	00:08:00	1.09488	1.09489	1.09488	1.09489	10	0	8
2024.01.08	00:09:00	1.09489	1.09490	1.09489	1.09490	10	0	8
2024.01.08	00:10:00	1.09490	1.09491	1.09490	1.09491	10	0	8
2024.01.08	00:11:00	1.09491	1.09492	1.09491	1.09492	10	0	8
2024.01.08	00:12:00	1.09492	1.09493	1.09492	1.09493	10	0	8
2024.01.08	00:13:00	1.09493	1.09494	1.09493	1.09494	10	0	8
2024.01.08	00:14:00	1.09494	1.09495	1.09494	1.09495	10	0	8
2024.01.08	00:15:00	1.09495	1.09497	1.09495	1.09497	10	0	8
2024.01.08	00:16:00	1.09497	1.09498	1.09497	1.09498	10	0	8
2024.01.08	00:17:00	1.09498	1.09530	1.09498	1.09500	10	0	8
2024.01.08	00:18:00	1.09500	1.09502	1.09500	1.09502	10	0	8
2024.01.08	00:19:00	1.09502	1.09503	1.09502	1.09503	10	0	8
2024.01.08	00:20:00	1.09503	1.09505	1.09503	1.09505	10	0	8
2024.01.08	00:21:00	1.09505	1.09507	1.09505	1.09507	10	0	8
2024.01.08	00:22:00	1.09507	1.09508	1.09475	1.09508	10	0	8
2024.01.08	00:23:00	1.09508	1.09510	1.09508	1.09510	10	0	8
2024.01.08	00:24:00	1.09510	1.09512	1.09510	1.09512	10	0	8
2024.01.08	00:25:00	1.09512	1.09513	1.09512	1.09513	10	0	8
2024.01.08	00:26:00	1.09513	1.09515	1.09513	1.09515	10	0	8
2024.01.08	00:27:00	1.09515	1.09517	1.09515	1.09517	10	0	8
2024.01.08	00:28:00	1.09517	1.09518	1.09517	1.09518	10	0	8
2024.01.08	00:29:00	1.09518	1.09520	1.09518	1.09520	10	0	8
2024.01.08	00:30:00	1.09520	1.09520	1.09519	1.09519	10	0	9
2024.01.08	00:31:00	1.09519	1.09519	1.09517	1.09517	10	0	9
2024.01.08	00:32:00	1.09517	1.09542	1.09516	1.09516	10	0	9
2024.01.08	00:33:00	1.09516	1.09516	1.09515	1.09515	10	0	9
2024.01.08	00:34:00	1.09515	1.09515	1.09513	1.09513	10	0	9
2024.01.08	00:35:00	1.09513	1.09513	1.09512	1.09512	10	0	9
2024.01.08	00:36:00	1.09512	1.09512	1.09511	1.09511	10	0	9
2024.01.08	00:37:00	1.09511	1.09511	1.09488	1.09509	10	0	9
2024.01.08	00:38:00	1.09509	1.09509	1.09508	1.09508	10	0	9
2024.01.08	00:39:00	1.09508	1.09508	1.09507	1.09507	10	0	9
2024.01.08	00:40:00	1.09507	1.09507	1.09505	1.09505	10	0	9
2024.01.08	00:41:00	1.09505	1.09505	1.09504	1.09504	10	0	9
2024.01.08	00:42:00	1.09504	1.09504	1.09503	1.09503	10	0	9
2024.01.08	00:43:00	1.09503	1.09503	1.09501	1.09501	10	0	9
2024.01.08	00:44:00	1.09501	1.09501	1.09500	1.09500	10	0	9
2024.01.08	00:45:00	1.09500	1.09500	1.09498	1.09498	10	0	9
2024.01.08	00:46:00	1.09498	1.09498	1.09496	1.09496	10	0	9
2024.01.08	00:47:00	1.09496	1.09518	1.09494	1.09494	10	0	9
2024.01.08	00:48:00	1.09494	1.09494	1.09492	1.09492	10	0	9
2024.01.08	00:49:00	1.09492	1.09492	1.09490	1.09490	10	0	9
2024.01.08	00:50:00	1.09490	1.09490	1.09488	1.09488	10	0	9
2024.01.08	00:51:00	1.09488	1.09488	1.09486	1.09486	10	0	9
2024.01.08	00:52:00	1.09486	1.09486	1.09462	1.09484	10	0	9
2024.01.08	00:53:00	1.09484	1.09484	1.09482	1.09482	10	0	9
2024.01.08	00:54:00	1.09482	1.09482	1.09480	1.09480	10	0	9
