deal_ticket,position_id,timestamp_ms,deal_type,deal_entry,price,volume,profit,commission,swap,fee
2,2,1705906800000,DEAL_TYPE_SELL,DEAL_ENTRY_IN,147.844,1.71,0.0,-5.99,0.0,0.0
3,2,1705920457777,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,148.268,1.71,-489.01,-5.99,0.0,0.0
4,4,1705935600000,DEAL_TYPE_SELL,DEAL_ENTRY_IN,147.792,1.7,0.0,-5.95,0.0,0.0
5,4,1705975711000,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,148.215,1.7,-485.17,-5.95,-19.24,0.0
6,6,1706000400000,DEAL_TYPE_SELL,DEAL_ENTRY_IN,147.117,1.21,0.0,-4.24,0.0,0.0
7,6,1706002815441,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,147.708,1.21,-484.14,-4.24,0.0,0.0
8,8,1706032800000,DEAL_TYPE_BUY,DEAL_ENTRY_IN,148.485,1.12,0.0,-3.92,0.0,0.0
9,8,1706075128799,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,147.847,1.12,-483.31,-3.92,6.04,0.0
10,10,1706086800000,DEAL_TYPE_SELL,DEAL_ENTRY_IN,147.868,1.5,0.0,-5.25,0.0,0.0
11,10,1706113056599,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,146.685,1.5,1209.74,-5.25,0.0,0.0
12,12,1706259600000,DEAL_TYPE_BUY,DEAL_ENTRY_IN,147.765,1.74,0.0,-6.09,0.0,0.0
13,12,1706562000000,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,147.674,1.74,-107.22,-6.09,9.39,0.0
14,14,1706688000000,DEAL_TYPE_BUY,DEAL_ENTRY_IN,147.722,1.79,0.0,-6.27,0.0,0.0
15,14,1706718509230,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,147.325,1.79,-482.36,-6.27,0.0,0.0
16,16,1706720400000,DEAL_TYPE_SELL,DEAL_ENTRY_IN,146.641,1.26,0.0,-4.41,0.0,0.0
17,16,1706738679590,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,147.208,1.26,-485.31,-4.41,0.0,0.0
