deal_ticket,position_id,timestamp_ms,deal_type,deal_entry,price,volume,profit,commission,swap,fee
2,2,1705999659750,DEAL_TYPE_BUY,DEAL_ENTRY_IN,0.66097,2.14,0.0,-7.49,0.0,0.0
3,2,1706007876382,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,0.65871,2.14,-483.64,-7.49,0.0,0.0
4,5,1706109927920,DEAL_TYPE_BUY,DEAL_ENTRY_IN,0.66094,2.19,0.0,-7.67,0.0,0.0
5,5,1706128874285,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,0.65873,2.19,-483.99,-7.67,0.0,0.0
6,7,1706153459555,DEAL_TYPE_SELL,DEAL_ENTRY_IN,0.65668,2.09,0.0,-7.32,0.0,0.0
7,7,1706184690000,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,0.65899,2.09,-482.79,-7.32,0.0,0.0
8,11,1706520210000,DEAL_TYPE_BUY,DEAL_ENTRY_IN,0.65968,2.55,0.0,-8.93,0.0,0.0
9,11,1706635358307,DEAL_TYPE_SELL,DEAL_ENTRY_OUT,0.65781,2.55,-476.85,-8.93,-5.32,0.0
10,14,1706671471666,DEAL_TYPE_SELL,DEAL_ENTRY_IN,0.65778,2.25,0.0,-7.88,0.0,0.0
11,14,1706715779824,DEAL_TYPE_BUY,DEAL_ENTRY_OUT,0.6599,2.25,-477.0,-7.88,0.0,0.0
